Temperature,Rainfall,Humidity,Soil_Moisture,Field_Size,Crop_Type,Soil_Type,Irrigate
26.236203565420873,26.170568373590598,60.03971147985149,55.37798678544754,36.29312827342238,Potato,Loamy,0
43.52142919229749,24.697879907199983,76.38026305099905,22.067045347361635,34.67686721624326,Wheat,Sandy,1
36.95981825434215,90.62545805210367,73.21126508531114,71.06761943483704,5.691955734504525,Onion,Sandy,0
32.959754525911094,24.95461998495061,30.77299332856416,52.918136734846904,46.2060478403842,Cucumber,Loamy,0
19.680559213273096,27.1949726128631,30.447462881903174,21.004271848986797,28.85513790568416,Tomato,Sandy,1
19.67983561008608,75.93982624179637,38.77220574214393,77.36366402368448,18.822550535648528,Tomato,Clay,0
16.742508365045985,44.973984245054,45.275230843872606,46.28558243347244,38.07039059127003,Tomato,Clay,1
40.98528437324806,77.67105569551812,48.59189069859379,15.10289163101585,13.610907461680068,Cucumber,Clay,1
33.03345035229626,6.536615756438524,67.57880517833416,53.87830330905471,34.9819820152697,Cotton,Clay,0
36.242177333881365,48.75711936733843,23.96763025160848,27.723923490896716,2.9458491710401136,Cucumber,Clay,1
15.617534828874074,3.3613600183282633,22.427089295824647,66.25854163141116,42.13099384285432,Cotton,Clay,0
44.097295564859834,6.265320345535452,47.43373940607363,67.24754514963334,22.960371504044605,Tomato,Clay,0
39.97327922401266,90.64374533444109,68.80145844965864,78.52631490982633,32.197952803539145,Potato,Clay,0
21.370173320348286,13.924537111759516,33.54047400695378,45.13086717171526,11.8406531705275,Potato,Clay,0
20.454749016213018,53.24206822752171,64.90531368793762,41.8469815809416,34.17661192026395,Cotton,Loamy,0
20.502135295603015,41.10956026007065,38.187969655820964,62.743292381253646,38.839773518770556,Tomato,Loamy,0
24.127267288786133,34.73433262588427,82.02602761694615,19.272945943934857,24.187446157335536,Cucumber,Clay,1
30.742692948967136,89.98333456872724,82.69829609866315,48.28408596551869,31.26861927902792,Potato,Loamy,0
27.958350559263472,2.18233967754895,40.81010429969285,48.237332009159566,23.35997026729753,Cotton,Loamy,0
23.736874205941255,66.37896861755891,36.09956277742684,16.263118596727104,44.81047709363443,Cucumber,Clay,1
33.35558684167138,96.33944342135504,48.79127804463619,39.25888598548395,25.395589845201638,Tomato,Clay,1
19.184815819561255,56.016818346184195,36.83721096261041,69.72993589970415,42.24862674241213,Wheat,Loamy,0
23.764339456056547,93.68224620330918,67.06686903041926,69.93075353962621,40.26625085524218,Tomato,Clay,0
25.99085529881075,5.225787928602377,77.82452791837999,16.946636544377668,21.11473624606947,Tomato,Clay,1
28.682099526511077,41.87933190741614,67.11644916378519,16.35046179234816,12.274140101016277,Cucumber,Clay,1
38.55527884179041,26.015779096205115,77.70453130745446,28.38868339013547,20.89802449542878,Cucumber,Clay,1
20.99021346475079,73.08209649807299,47.78945135452319,71.23362437877955,41.484651412985784,Onion,Loamy,0
30.42703315240835,98.12970904972467,30.942187949620262,19.023180955144927,12.153994255150225,Onion,Sandy,1
32.772437065861276,25.65300624442478,71.65656631783145,60.39977618392124,26.697380947029718,Cucumber,Loamy,0
16.393512381599933,65.41746014740745,45.23321535990877,17.081593372917226,40.49874065007663,Cucumber,Sandy,1
33.226345557043146,19.809763275974014,66.98895776603928,53.61964976234778,18.32039628129056,Wheat,Sandy,0
20.115723710618745,56.53302545716099,38.9450759387236,34.92471093834014,32.468272213132174,Wheat,Sandy,1
